name,url
google chrome,https://www.google.com/intl/ja_jp/chrome/
terapad,https://tera-net.com/library/tpad.html
7zip,https://sevenzip.osdn.jp/
bitwarden,https://bitwarden.com/download/
logicool unifying software,https://support.logi.com/hc/ja/articles/360025297913
logicool options,https://www.logicool.co.jp/ja-jp/product/options
realforce software,https://www.realforce.co.jp/en/support/download/
slack,https://slack.com/intl/ja-jp/downloads/windows
discord,https://discord.com/
vscode,https://code.visualstudio.com/download
firefox,https://www.mozilla.org/ja/firefox/new/
acrobat dc reader,https://get2.adobe.com/jp/reader/
steam,https://store.steampowered.com/about/
epic games,https://www.epicgames.com/site/ja/home?lang=ja
zoom,https://zoom.us/download#client_4meeting
source tree,https://www.sourcetreeapp.com/
blender,https://www.blender.org/download/
gyazo,https://gyazo.com/ja
unity hub,https://unity3d.com/jp/get-unity/download
thunderbird,https://www.thunderbird.net/ja/
music bee,https://getmusicbee.com/downloads/
twitter,https://www.microsoft.com/ja-jp/p/twitter/9wzdncrfj140?rtc=1&activetab=pivot:overviewtab
leaf view,https://www.microsoft.com/ja-jp/p/leafview/9p870thx6217?activetab=pivot:overviewtab
rtx voice,https://www.nvidia.com/en-us/geforce/guides/nvidia-rtx-voice-setup-guide/
fire alpaka,https://firealpaca.com/ja/
gimp,https://www.gimp.org/downloads/
figma,https://www.figma.com/downloads/
libreoffice,https://ja.libreoffice.org/download/download/
origin,https://www.origin.com/jpn/ja-jp/store/download
vroid studio,https://vroid.com/studio
make human,http://www.makehumancommunity.org/content/downloads.html
cinebench r15,https://www.guru3d.com/files-details/cinebench-r15-extreme-edition-download.html
cpu z,https://www.cpuid.com/softwares/cpu-z.html
dotnet,https://dotnet.microsoft.com/download/dotnet-core/sdk-for-vs-code?utm_source=vs-code&amp;utm_medium=referral&amp;utm_campaign=sdk-install
git for windows,https://gitforwindows.org/
android studio,https://developer.android.com/studio?hl=ja
intellij,https://www.jetbrains.com/ja-jp/idea/download/#section=windows
cluster,https://cluster.mu/downloads
oculus,https://www.oculus.com/setup/
postman,https://www.postman.com/downloads/
audacity,https://www.audacityteam.org/download/
mendeley,https://www.mendeley.com/download-desktop-new
qtranslate,https://quest-app.appspot.com/
deepl,https://www.deepl.com/ja/translator
typora,https://typora.io/#windows
vcxsrv,https://sourceforge.net/projects/vcxsrv/
cuda on wsl,https://developer.nvidia.com/cuda/wsl/download
notion,https://www.notion.so/desktop
licecap,https://www.cockos.com/licecap/
anaconda,https://www.anaconda.com/products/individual#Downloads
winscp,https://winscp.net/eng/download.php
justinmind,https://www.justinmind.com/
wireshark,https://www.wireshark.org/download.html
greenshot,https://getgreenshot.org/downloads/
line,https://line.me/ja/
logicool camera settings,https://support.logi.com/hc/ja/articles/360024692954
win quick look,https://www.microsoft.com/ja-jp/p/winquicklook/9njmtkk6jc0q
